Job_Family,Total_Benefits,Total_Compensation,percentage
Administrative & Mgmt (Unrep),58804.222241379335,248536.12431034484,23.660231447059594
Administrative Secretarial,28918.649873417715,101995.19810126584,28.352952307329076
Administrative-DPW/PUC,41349.40406876792,156364.68157593108,26.44420955680362
Administrative-Labor & Trades,39922.41188679246,160870.45089622648,24.81649778712028
Agriculture & Horticulture,25407.737040592423,81391.64327207874,31.21664094636667
Airport Operation,30895.424859531802,106146.68004013343,29.106350615818062
Appraisal & Taxation,28457.443365384654,94371.49368589751,30.15470271150028
"Budget, Admn & Stats Analysis",27664.142248636843,94125.4327186479,29.39071986136653
"Clerical, Secretarial & Steno",21394.905197130283,66009.82104317442,32.41170004556855
Community Development,28426.194115988703,95466.3494643575,29.77614025830292
Computer Operatns & Repro Svcs,19948.000740157484,63598.61788976373,31.36546265004312
Construction Inspection,32729.448992558664,118084.473205495,27.716979298033245
Construction Project Mgmt,38222.228820512784,148138.71075213692,25.80164808134826
Correction & Detention,31615.406078648062,133490.81279575865,23.68358197580213
Dietary & Food,19300.787904642395,60295.2566875783,32.01045814374754
Emergency Services,26030.663506493496,89426.41850649354,29.10847145757417
Energy & Environment,32109.412889518524,111574.68400849847,28.778403609077486
Fire Services,37971.03134466646,183171.8105789114,20.729735227631185
Health & Sanitation Inspection,35697.34880930232,126631.14573023253,28.19002276529175
Hospital Administration,26546.707421135685,85470.50934542589,31.05949364809347
Housekeeping & Laundry,23787.827170574732,72612.2042942525,32.76009508563785
Human Services,27247.24735076581,91186.14884572836,29.880905922305782
Information Systems,33528.96357235317,121352.03229614293,27.629503138876444
Journeyman Trade,32316.621001965505,119507.75848344238,27.041441837805806
"Lab, Pharmacy & Med Techs",30173.305161290256,107865.57531817393,27.973062835188394
Legal & Court,38844.13462101066,147086.0987859041,26.409113397963928
Library,21287.24926884871,67205.88142159258,31.67468206437261
Management,41017.2909706811,144772.49593504815,28.332239978154007
Med Therapy & Auxiliary,25761.927705112965,85782.1004994055,30.031821971171603
Medical & Dental,34409.10374488654,144073.7227668279,23.882983714230104
Museum & Cultural Affairs,20985.569884105975,67814.38102648997,30.94560411295134
N,14255.25,54927.75,25.95272881193932
Nursing,23636.206942191522,97748.06679148655,24.180741080651362
Park & Zoo,17359.449541088576,53001.04350053361,32.753033515111454
"Payroll, Billing & Accounting",25538.40989185386,83469.91548033741,30.595945551028876
Personnel,22710.956947154467,76101.76693902435,29.84287732156253
Police Services,30780.263826600058,150087.60797911984,20.508198005848826
Port Operation,37853.06136363637,137631.01618181818,27.503292799662532
Probation & Parole,29552.1090377113,112136.27096879057,26.353746903119468
Professional Engineering,34039.28466829724,122992.34164170043,27.67593836652042
Property Administration,32365.519602649005,115703.74695364237,27.97274976377084
Protection & Apprehension,20818.58396324071,73317.72583923084,28.39502142891222
Pub Relations & Spec Assts,23652.059352465047,78525.87420161886,30.120084103409372
Public Health,32977.2513031161,116185.29922804535,28.383325190211238
Public Safety Inspection,36216.16469823585,134517.90395543183,26.92293266049916
Public Service Aide,5087.142129951564,14450.325272157346,35.204343391171875
Purchasing & Storekeeping,26200.820535615672,86369.14561568179,30.335857034179654
Recreation,5170.124187316245,16715.982449600968,30.929227180659446
Revenue,24709.681113610783,79120.02879640048,31.230627047920052
SF Redevelopment Agency,23332.552783505147,76358.32556701032,30.55665850481364
SF Superior Court,29243.101466863744,96347.45906500603,30.351710102840702
Semi-Skilled & General Labor,22211.21098096957,71263.85183280484,31.167570107044224
Skilled Labor,28665.70847278911,100816.74061904754,28.433480686612505
Street Transit,30056.26810386605,98922.76094897072,30.383571804441008
Sub-Professional Engineering,12261.080848431284,42442.90199734877,28.88841307127675
Supervisory-Labor & Trade,36074.642645082466,137935.13559560175,26.15333829869578
Y,37228.34,171787.59,21.67114632669333
