,Awards,Nominated_BAFTA,Winner_BAFTA,Winner_OSCAR,Nominated_OSCAR,Winner_Emmy,Nominated_Emmy,Winner_Globes,Nominated_Globes,Awards_Won,Nominations
0,1 win & 2 nominations.,0,0,0,0,0,0,0,0,1,2
1,1 win.,0,0,0,0,0,0,0,0,1,0
2,1 nomination.,0,0,0,0,0,0,0,0,0,1
3,3 wins & 2 nominations.,0,0,0,0,0,0,0,0,3,2
4,1 win & 1 nomination.,0,0,0,0,0,0,0,0,1,1
5,5 nominations.,0,0,0,0,0,0,0,0,0,5
6,2 wins & 5 nominations.,0,0,0,0,0,0,0,0,2,5
7,nominated for 1 oscar. another 13 wins & 13 nominations.,0,0,0,1,0,0,0,0,13,13
8,5 wins & 4 nominations.,0,0,0,0,0,0,0,0,5,4
9,nominated for 1 golden globe. another 14 wins & 34 nominations.,0,0,0,0,0,0,0,1,14,34
10,22 wins & 44 nominations.,0,0,0,0,0,0,0,0,22,44
11,1 win & 3 nominations.,0,0,0,0,0,0,0,0,1,3
12,1 win & 8 nominations.,0,0,0,0,0,0,0,0,1,8
13,2 nominations.,0,0,0,0,0,0,0,0,0,2
14,6 wins & 1 nomination.,0,0,0,0,0,0,0,0,6,1
15,won 2 golden globes. another 68 wins & 201 nominations.,0,0,0,0,0,0,2,0,68,201
16,won 1 golden globe. another 31 wins & 143 nominations.,0,0,0,0,0,0,1,0,31,143
17,nominated for 4 primetime emmys. another 16 nominations.,0,0,0,0,0,4,0,0,0,16
18,3 wins & 6 nominations.,0,0,0,0,0,0,0,0,3,6
19,2 wins.,0,0,0,0,0,0,0,0,2,0
20,6 wins & 4 nominations.,0,0,0,0,0,0,0,0,6,4
21,7 wins & 6 nominations.,0,0,0,0,0,0,0,0,7,6
22,9 wins & 30 nominations.,0,0,0,0,0,0,0,0,9,30
23,won 1 primetime emmy. another 1 win & 6 nominations.,0,0,0,0,1,0,0,0,1,6
24,nominated for 3 bafta film awards. another 11 wins & 39 nominations.,3,0,0,0,0,0,0,0,11,39
25,6 nominations.,0,0,0,0,0,0,0,0,0,6
26,1 win & 4 nominations.,0,0,0,0,0,0,0,0,1,4
27,14 wins & 11 nominations.,0,0,0,0,0,0,0,0,14,11
28,3 wins & 3 nominations.,0,0,0,0,0,0,0,0,3,3
29,nominated for 1 golden globe. another 2 wins & 14 nominations.,0,0,0,0,0,0,0,1,2,14
30,nominated for 1 primetime emmy. another 1 nomination.,0,0,0,0,0,1,0,0,0,1
31,3 wins & 1 nomination.,0,0,0,0,0,0,0,0,3,1
32,9 wins & 8 nominations.,0,0,0,0,0,0,0,0,9,8
33,15 wins & 4 nominations.,0,0,0,0,0,0,0,0,15,4
34,8 wins & 8 nominations.,0,0,0,0,0,0,0,0,8,8
35,4 nominations.,0,0,0,0,0,0,0,0,0,4
36,4 wins.,0,0,0,0,0,0,0,0,4,0
37,15 nominations.,0,0,0,0,0,0,0,0,0,15
38,7 wins & 7 nominations.,0,0,0,0,0,0,0,0,7,7
39,4 wins & 9 nominations.,0,0,0,0,0,0,0,0,4,9
40,won 11 oscars. another 174 wins & 113 nominations.,0,0,11,0,0,0,0,0,174,113
41,4 wins & 11 nominations.,0,0,0,0,0,0,0,0,4,11
