,STATE,WORKSITE,PREVAILING_WAGE
16,ALABAMA,VANCE,90958.0
17,ALABAMA,VESTAVIA,81536.0
7,ALABAMA,HUNTSVILLE,70675.28571428571
18,ALASKA,ANCHORAGE,69992.0
21,ARIZONA,GILBERT,97718.0
22,ARIZONA,GLENDALE,71122.5
25,ARIZONA,JONESBORO,68494.0
36,ARKANSAS,JONESBORO,67306.54545454546
38,ARKANSAS,LOWELL,60517.36666666667
34,ARKANSAS,BENTONVILLE,58943.9063063063
206,CALIFORNIA,RANCHO PALOS VERDES,112278.0
289,CALIFORNIA,YORBA LINDA,102700.0
56,CALIFORNIA,BELLEVUE,100984.0
310,COLORADO,LONGMONT,80853.16666666667
317,COLORADO,WHEAT RIDGE,78187.5
297,COLORADO,DENVER (LAKEWWOD),78187.0
337,CONNECTICUT,IRWINDALE,89814.0
359,CONNECTICUT,TRUMBULL,86694.5
348,CONNECTICUT,NORWICH,84368.63636363637
370,DELAWARE,CUT-OFF WILMINGTON,76003.0
376,DELAWARE,WILMINGTON,69939.9764127764
374,DELAWARE,NEW CASTLE,69353.17647058824
383,DISTRICTOFCOLUMBIA,SW WASHINGTON DC,92477.0
378,DISTRICTOFCOLUMBIA,BETHESDA,78458.0
385,DISTRICTOFCOLUMBIA,WASHINGTON D C,76502.0
432,FLORIDA,LONGWOOD,75816.0
403,FLORIDA,CORAL GABLES,72762.0
480,FLORIDA,WINTER SPRINGS,71018.33333333333
533,GEORGIA,SAVANNAH,92976.0
491,GEORGIA,CHAMBLEE,77563.2
482,GEORGIA,575 MOROSGO DR. NE,77563.0
547,HAWAII,KAILUA,60237.0
546,HAWAII,HONOLULU,59468.27272727273
550,IDAHO,IDAHO FALLS,61402.0
549,IDAHO,DES MOINES,59966.0
553,IDAHO,TWIN FALLS,59248.5
676,ILLINOIS,UNION,88026.0
580,ILLINOIS,DEDHAM,84053.0
630,ILLINOIS,MILAN,80725.0
710,INDIANA,JEFFERSONVILLE,91541.0
717,INDIANA,SCHERERVILLE,78666.0
